tenure,Contract,TotalCharges,MonthlyCharges,OnlineSecurity,TechSupport,Churn
3,0,-0.9298232759984897,-0.008697594919796056,2,2,0
56,1,1.702637046586569,1.5201556452330371,2,0,0
46,1,0.17906327021110852,-0.3028356639491999,0,0,0
8,0,-0.7952221238306201,-0.3360716039525224,2,0,0
30,0,-0.0759437674616913,0.3319707901142592,2,0,0
45,1,-0.4709828058234854,-1.2916048790480432,1,1,0
1,0,-0.9731155278274535,0.4848561141295423,0,0,1
11,0,-0.7585307813830231,-0.4723389579661445,2,0,0
7,0,-0.7887536741692808,0.3452651661155884,0,0,1
42,0,0.9025803376209148,1.2974748472107767,0,2,0
49,2,-0.5783855621457235,-1.4827115340671475,1,1,0
9,0,-0.6024932311907151,1.1479131171958254,0,0,0
35,1,-0.02995816799217001,-0.08680205392760389,2,0,0
48,2,-0.5414513768780761,-1.4660935640654862,1,1,0
46,2,-0.5988064356499517,-1.4893587220678117,1,1,0
29,0,-0.5625345489824415,-1.0307027500219619,0,0,0
30,0,0.12667545094026145,0.5745931521385131,0,0,0
1,0,-0.9751686534878786,0.3303089931140932,0,2,0
66,2,1.5148753934476924,0.639403235144992,2,2,0
65,0,2.1298196436750185,1.5384354122348645,2,0,0
72,2,2.285261125127203,1.2010906212011416,0,0,0
12,0,-0.5986960525499289,0.4715617381282136,2,0,1
71,1,1.0885537845394213,0.06940686408801156,2,2,0
5,0,-0.9578826600242994,-1.4527991880641573,1,1,1
52,2,-0.5192864503934868,-1.4544609850643233,1,1,0
25,0,0.1020820962551694,1.1213243651931677,0,0,1
1,0,-0.9992321692928611,-1.481049737066981,1,1,0
1,0,-0.9995633185929297,-1.505976692069473,1,1,0
38,1,0.5838380979949184,1.0049985751815391,0,2,0
66,1,0.3284778344020453,-0.6385186579827568,0,0,0
68,2,2.3527272758611724,1.503537675231376,0,2,1
5,0,-0.9639095772855474,-1.3447823830533592,0,0,0
72,1,2.2163820707129416,1.3091074262119398,2,0,0
32,1,-0.5985635928299013,-1.150352134033923,2,0,0
43,1,0.7232298767037799,0.9833952141793794,0,0,0
72,2,-0.40623207935007855,-1.5076384890696393,1,1,0
55,0,1.3049929670642355,1.0631614701873533,2,0,1
52,1,0.33510082040341665,-0.22639300194155812,2,2,0
43,0,0.7377121394267784,0.8936581761704091,0,0,0
37,0,0.25823002954750035,0.3901336851200735,0,0,1
64,2,0.5034350479382707,-0.3377334009526884,0,2,0
3,0,-0.8984744755919988,0.8338334841644283,2,0,0
36,2,-0.5108311049317361,-1.1204397880309327,2,0,0
10,0,-0.5380736540173767,1.1794872601989819,2,0,1
41,2,-0.6394053398383578,-1.4660935640654862,1,1,0
27,0,-0.05815001173800718,0.679286363148979,0,2,0
56,1,1.427098752309518,1.1645310871974868,0,0,0
6,0,-0.9583683456644,-1.46443176706532,1,1,0
3,0,-0.906797361333722,0.3203382111130965,0,0,1
7,0,-0.8534602474026786,-0.46735356696564595,2,0,0
4,0,-0.9803787358089573,-1.4594463760648215,1,1,0
33,2,0.32865444736208194,0.8039211381614383,2,2,0
27,0,-0.06525868337947902,0.4416493921252232,0,0,1
72,2,-0.24697134263710313,-1.3697093380558512,1,1,0
1,0,-0.9994308588729022,-1.4960059100684764,1,1,0
71,1,0.7515100269296353,-0.27624691194654183,2,0,0
13,0,-0.4714022616035722,0.7042133181514709,0,0,0
25,0,-0.34468246277733444,-0.20478964093939855,2,0,1
67,2,0.4312886537633326,-0.4723389579661445,0,2,0
1,0,-0.9924988001914669,-0.9742016520163135,0,0,1
2,0,-0.9722766162672798,-0.6784017859867436,0,0,1
43,2,-0.4835223259860817,-1.2982520670487077,1,1,0
23,0,-0.22288575021211615,0.3402797751150898,2,0,0
64,2,-0.443983099557895,-1.481049737066981,1,1,0
57,2,-0.4913153728476953,-1.5009913010689746,1,1,0
1,0,-0.9770451661882672,0.18905624809997268,0,0,1
72,2,1.828981542872729,0.7740087921584479,2,2,0
8,0,-0.7592813864631784,0.2123214061022985,2,2,1
61,2,1.6283492202711876,1.2060760122016398,0,0,0
64,1,1.3271358169288205,0.6493740171459886,2,0,0
71,2,-0.23273192273415483,-1.3564149620545218,1,1,0
65,2,1.8250298278919108,1.1396041321949948,2,2,0
3,1,-0.981063111029099,-1.5009913010689746,1,1,0
1,0,-0.9879951697105342,-0.6351950639824245,0,0,1
30,1,-0.15601566821827048,-0.008697594919796056,0,0,0
15,0,-0.5350933103167597,0.15748210509681626,0,2,0
8,0,-0.7589723137831145,0.12590796209365981,0,2,0
7,0,-0.7187266355147816,1.0049985751815391,0,0,1
70,1,2.493443651770308,1.4420511862252297,2,0,0
62,2,1.2945507258020736,0.709198709151969,2,2,0
6,0,-0.9580371963643315,-1.4976677070686424,1,1,0
14,0,-0.49915257294931803,0.5363718211346926,0,0,0
22,0,-0.20370116742814393,0.6443886261454906,0,0,0
22,1,-0.8227516689763201,-1.4827115340671475,1,1,0
16,2,-0.556021946081093,-0.017006579920626673,2,0,0
10,2,-0.8970615719117063,-1.2982520670487077,1,1,0
13,0,-0.6705775272848121,-0.291203084948037,2,0,0
20,0,-0.3050770064891341,0.5862257311396762,2,0,1
2,0,-0.9484559432823477,0.16412929309748084,0,0,0
53,2,0.7395444988871578,0.3037202411114353,0,2,0
11,1,-0.9048766953933244,-1.4677553610656522,1,1,0
69,2,-0.4061437728700602,-1.491020519067978,1,1,0
4,0,-0.8876127785497498,0.2040124211014679,0,0,1
72,2,1.7533911959770778,0.8072447321617704,2,2,0
58,0,0.1624395753476665,-0.6468276429835874,0,0,1
16,0,-0.8662426103853251,-1.4744025490663168,1,1,0
43,1,0.5545424232488526,0.6477122201458226,2,2,0
2,0,-0.9009470570325108,1.3174164112127704,0,2,1
14,2,-0.48637020996667135,0.571269558138181,0,2,0
53,1,1.1995991831624135,1.0000131841810405,0,0,1
32,1,-0.7191460912948684,-1.4694171580658184,1,1,0
34,0,-0.6636675452233813,-1.33148800705203,1,1,0
15,0,-0.5022874529899671,0.3220000081132625,0,0,1
7,0,-0.7857954070886684,0.38847188811990746,2,0,1
15,0,-0.3196917289321601,1.3489905542159264,0,0,0
61,1,-0.45535255886024906,-1.4694171580658184,1,1,0
1,0,-0.9949272283919697,-1.156999322034587,0,0,1
1,0,-0.9881497060505663,-0.6468276429835874,0,0,0
8,0,-0.7155696788541278,0.6560212051466533,0,0,1
33,1,0.07506031336957453,0.3319707901142592,2,0,0
13,0,-0.51732163121308,0.4815325201292103,0,0,1
1,0,-0.9972011202524403,-1.328164413051698,0,0,1
20,0,-0.5560881759411068,-0.4307940329619914,0,0,0
3,0,-0.9718792371071975,-1.1420431490330922,0,2,0
13,1,-0.9000639922323279,-1.4993295040688086,1,1,0
40,0,0.04229860928279101,-0.2712615209460435,0,0,0
43,1,0.39298571805540183,0.23724836110479036,2,2,0
6,0,-0.7736974193261633,0.8720548151682492,0,0,1
69,2,-0.4008674606889677,-1.4960059100684764,1,1,0
72,2,2.581198216288478,1.4935668932303794,2,0,0
59,2,-0.4815354301856703,-1.5109620830699715,1,1,0
20,0,-0.16851103514085766,1.0565142821866886,2,2,0
24,2,-0.7487949919610072,-1.3514295710540236,1,1,0
59,0,1.8705297417213318,1.5484061942358611,0,2,0
72,2,2.5424979014204645,1.5783185402388515,0,2,0
1,0,-0.9989893264728107,-1.462769970065154,1,1,0
27,1,0.17566347073040467,1.2343265612044643,2,2,0
14,0,-0.5170346351530206,0.5081212721318682,0,2,0
71,2,2.2616170651023078,1.3556377422165908,2,0,0
13,0,-0.5516286987001834,0.44995837712605385,0,0,0
44,0,0.29832117147580123,0.13587874409465647,0,0,0
33,1,0.17729714061074284,0.5047976781315362,0,2,0
72,2,0.8371010826873572,-0.30948285194986425,2,2,0
1,0,-0.9728726850074031,0.5031358811313701,0,0,1
19,0,-0.1540287724178591,1.3905354792200795,2,2,1
64,1,1.9298496196736143,1.2526063282062914,0,2,0
2,0,-0.9708416359669827,-0.6235624849812615,0,0,1
1,0,-0.9970024306723994,-1.3132082400502028,0,0,0
61,2,-0.5117803995919327,-1.4960059100684764,1,1,0
29,1,-0.769701551105336,-1.4876969250676457,1,1,0
23,0,-0.13574933105407436,0.7324638671542948,0,0,0
57,0,0.5095944249195459,-0.19980424993890022,2,0,0
72,2,0.3781723060323348,-0.6484894399837534,2,2,0
66,2,0.6649034466517031,-0.2712615209460435,2,2,0
65,2,1.3427881405120614,0.6460504231456566,0,2,0
8,0,-0.7323699866776064,0.5064594751317022,0,0,0
4,0,-0.889665904210175,0.17908546609897605,0,0,1
71,2,-0.19710025804677717,-1.329826210051864,1,1,0
1,1,-0.9992321692928611,-1.481049737066981,1,1,0
4,0,-0.9289622878183115,-0.48895692796780577,0,2,1
12,1,-0.9113009918146546,-1.5093002860698053,1,1,0
24,1,-0.43912624315688936,-0.4706771609659783,2,0,0
31,1,0.11587998375802629,0.5446808061355232,2,2,0
1,0,-0.9837785352896613,-0.3177918369506949,0,0,1
30,0,0.19420783153424434,0.8354952811645947,0,2,0
47,2,0.8053328265007795,0.6826099571493112,2,2,0
54,2,1.5353624968119342,1.437065795224731,2,2,0
50,0,1.0880239456593117,0.9551446651765554,2,2,0
1,0,-0.9707974827269735,0.6593447991469853,2,0,1
72,2,-0.3163140060714607,-1.479387940066815,1,1,0
29,0,-0.6981953789105304,-1.3165318340505352,1,1,0
2,0,-0.9577722769242767,-0.344380588953353,0,0,1
10,2,-0.8761108595273683,-1.16863190103575,0,2,0
18,0,-0.4315318858753169,0.27879328610894344,0,0,0
11,0,-0.5135023759522892,1.0049985751815391,0,0,1
16,2,-0.8826013858087123,-1.4960059100684764,1,1,0
72,2,1.7958003830058589,0.7258166791536302,0,2,0
72,2,2.4703735838655314,1.476948923228718,0,2,0
41,1,0.3992996313767092,0.3303089931140932,2,2,0
65,0,1.6967425890453485,0.9850570111795458,2,0,0
13,0,-0.6852584795878518,-0.33108621295202406,0,0,0
4,0,-0.8874361655897133,0.3519123541162525,2,0,0
41,1,0.10972060677675105,0.007920375081865175,0,0,0
15,0,-0.5338128663564946,0.3203382111130965,0,0,1
1,0,-0.9867147257502692,-0.5388108379727894,2,0,1
42,1,0.889753821398259,1.1379423351948288,2,0,0
51,1,1.0315298750676145,0.9551446651765554,2,0,0
2,0,-0.9431796311012551,0.18739445109980665,0,0,1
1,0,-0.9904015212910326,-0.8163309370005318,0,0,1
32,1,0.15453614538603025,0.6294324531439954,0,2,0
10,0,-0.9229132939370589,-1.4926823160681442,1,1,0
67,2,0.803853692960473,-0.17321549793624236,0,2,0
61,2,2.0861741659259816,1.6730409692483204,2,2,0
50,1,1.5488071583947183,1.6481140142458286,2,2,0
2,0,-0.9725856889473437,-0.670092800985913,0,0,1
29,0,-0.4656623404023837,-0.6567984249845841,2,0,0
3,0,-0.949780540482622,-0.7847567939973755,0,0,1
13,0,-0.40576847032998253,1.4005062612210766,0,0,1
57,0,1.1665504830155708,0.8338334841644283,0,0,0
31,2,-0.33697772239573925,-0.4956041159684701,2,2,0
45,1,1.2137502965853437,1.61321627724234,2,2,0
61,2,1.432088068430551,0.775670589158614,2,2,0
50,2,-0.4804095225654372,-1.3248408190513656,1,1,0
19,0,-0.1218852136912037,1.3373579752147637,2,2,0
59,2,-0.5226420966341817,-1.5093002860698053,1,1,1
71,2,-0.24299755103628035,-1.3464441800535252,1,1,0
16,0,-0.3409073607565528,0.9867188081797119,0,2,1
57,2,0.5152018864007071,-0.16656830993557778,2,2,0
1,0,-0.9972011202524403,-1.328164413051698,0,0,1
20,0,-0.04912067415613751,1.4054916522215746,0,2,0
1,0,-0.9769789363282534,0.1940416391004708,0,0,1
5,0,-0.831052478098039,0.6859335511496437,0,2,1
52,0,1.4754023968795196,1.3390197722149297,0,0,1
21,0,-0.41658601413222235,0.0062585780816991465,2,0,0
14,0,-0.6673101875241355,-0.32443902495135946,0,2,0
5,0,-0.9000860688523326,-0.4723389579661445,0,0,0
6,0,-0.8655803117851879,-0.3194536339508611,2,0,0
10,0,-0.7881576054291574,-0.45073559696398474,0,0,0
1,0,-0.9969362008123855,-1.3082228490497045,1,1,0
68,0,0.6201099846624286,-0.3427187919531867,2,0,0
18,0,-0.22224552823198357,1.0099839661820376,0,0,1
22,1,-0.22063393497164996,0.37351571511841225,0,0,0
20,0,-0.5987843590299471,-0.6784017859867436,0,0,0
1,0,-0.9772438557683083,0.1741000750984775,0,0,1
8,0,-0.7403396464992565,0.32366180511342857,0,0,1
10,0,-0.8159079167749032,-0.6617838159850824,0,0,1
24,0,-0.2519385821381316,0.3768393091187443,0,0,1
35,1,-0.11572583670992836,-0.11837619693076008,2,0,0
23,1,-0.15122504167727863,0.7324638671542948,0,2,0
6,0,-0.7574490270027991,0.817215514162767,0,0,0
12,0,-0.9108594594145633,-1.4976677070686424,1,1,0
1,0,-0.9992100926728564,-1.479387940066815,1,1,0
71,2,1.3922176927022958,0.3751775121185783,0,0,0
35,0,0.5096165015395505,1.1977670272008092,0,0,0
40,0,0.323400211800994,0.3253236021135946,0,0,0
1,0,-0.9756543391279792,0.29374945911043815,2,0,1
23,1,-0.34152550611668087,0.004596781081533118,0,0,0
4,0,-0.833260140098496,1.0199547481830342,0,0,1
4,0,-0.8506785932821025,0.852113251166256,0,2,0
68,2,0.8061055082009395,-0.14828854293375052,0,2,0
38,0,0.37901121759250833,0.5679459641378486,0,0,0
52,2,-0.46546365082234264,-1.328164413051698,1,1,0
32,0,0.008852529975865896,0.3369561811147577,0,0,1
29,2,-0.10106696102689318,0.35855954211691704,0,2,0
38,0,0.6439968875073744,1.2093996062019723,0,0,0
48,1,0.6177698629419439,0.46491455012754906,2,0,0
1,0,-0.9996516250729478,-1.5126238800701375,1,1,0
22,0,-0.17531063410226558,0.8072447321617704,2,2,0
43,2,1.1531941279128055,1.6713791722481544,2,2,0
5,0,-0.8573236559034785,0.15249671409631768,0,0,0
5,0,-0.8246723349167179,0.5264010391336955,0,0,1
51,1,1.5025787161051463,1.505199472231542,2,2,0
71,2,-0.40983056841082366,-1.491020519067978,1,1,0
38,1,0.34234195176491594,0.5164302571326989,2,2,1
24,0,-0.023070262550743688,0.9435120861753927,0,0,1
35,0,0.4208022592611613,0.8886727851699106,0,2,0
54,1,0.9125589698629811,0.5878875281398424,2,2,1
72,2,0.8745430302151097,-0.15825932493474715,0,2,0
1,0,-0.9883704722506119,-0.6634456129852486,0,0,0
9,1,-0.8216919912161008,-0.5371490409726232,2,0,0
69,2,0.8359972516871286,-0.15659752793458112,2,2,0
52,0,1.2604865011350206,1.260915313207122,0,2,0
11,0,-0.619580535074253,0.6028437011413375,0,2,0
2,0,-0.9467560435419956,0.18573265409964015,0,0,1
28,0,-0.578253102425696,-0.9592454790148185,0,0,0
17,0,-0.35907641902031484,0.5945347161405069,0,0,0
35,2,-0.681704143767116,-1.4926823160681442,1,1,0
8,1,-0.9366449515799022,-1.5142856770703037,1,1,0
46,1,0.9447246052096409,1.001674981181207,0,0,0
7,0,-0.7824176842279689,0.30205844411126875,0,0,1
2,0,-0.9393603758404643,0.5264010391336955,0,0,1
68,1,1.3292993256892682,0.3668685271177477,0,2,1
43,2,1.0934768708004408,1.3240635992134344,0,0,1
68,2,1.7065887615673871,0.7773323861587804,2,2,0
36,0,0.5661988786112662,0.9983513871808746,0,0,0
63,0,1.9072873140289426,1.284180471209448,0,0,1
32,0,-0.2001026783673989,-0.3360716039525224,0,2,0
71,2,1.739858227914276,0.6975661301508064,2,2,0
66,0,0.9825639318974756,0.08934842809000532,2,0,0
63,1,-0.4217298665932874,-1.4710789550659844,1,1,0
41,1,-0.6262255976956289,-1.479387940066815,1,1,0
1,0,-0.9763166377281163,0.24389554910545447,0,0,0
2,0,-0.9338853740793308,0.852113251166256,0,0,1
70,2,-0.4326136402555409,-1.505976692069473,1,1,0
23,0,-0.5680095507435752,-0.6584602219847501,0,0,0
64,1,1.8312995879732088,1.071470455188184,2,0,0
37,2,-0.0020091670663830085,-0.06519869292544433,2,2,0
17,1,-0.7072909463524136,-0.670092800985913,0,0,0
7,0,-0.7545569897822003,0.810568326162103,0,0,0
4,0,-0.8439452241807084,0.66599198714765,0,0,1
21,0,-0.6372197544579054,-0.7598298389948838,2,0,1
10,0,-0.6346147132973659,0.5147684601325327,0,0,1
16,0,-0.6156288200934348,-0.35435137095434965,2,0,0
64,2,2.0046010550090916,1.3456669602155942,0,2,0
27,0,-0.652673388461105,-1.1304105700319294,2,0,1
42,1,0.7653741442925059,1.074794049188516,2,0,0
5,0,-0.9711727852670512,-1.481049737066981,1,1,0
41,2,0.7399418780472401,1.1312951471941644,0,2,0
58,1,0.2628219665084512,-0.48064794296697516,0,0,0
47,2,-0.5905939330082512,-1.4694171580658184,1,1,0
18,0,-0.4019050618291826,0.3701921211180802,0,2,0
5,0,-0.7906743401096785,1.0548524851865226,0,0,1
23,0,-0.3873565692461703,-0.15992112193491317,2,0,0
1,0,-0.999695778312957,-1.51594747407047,1,1,0
71,1,2.0661727482018404,1.1263097561936661,0,0,0
72,2,2.580028155428235,1.5899511192400142,2,2,0
33,1,-0.7033833846116047,-1.4677553610656522,1,1,0
2,0,-0.9280129931581148,0.6942425361504743,0,0,1
24,2,-0.6413260057787555,-0.9642308700153168,2,2,0
56,1,1.4681391888980155,1.1628692901973208,0,2,0
37,0,0.6020292328786849,1.0415581091851935,0,0,0
43,1,0.6088509084600974,0.6759627691486465,0,2,0
1,0,-0.9969582774323902,-1.3098846460498705,0,0,0
25,0,0.12504178105992325,1.3356961782145975,0,2,1
61,2,1.3358119285906167,0.8271862961637642,2,2,0
17,1,-0.38548005654578177,0.7308020701541288,0,2,0
41,1,0.4661476367505503,0.7125223031523016,0,2,0
1,0,-0.9857875077100772,-0.4690153639658122,0,0,1
72,2,1.0813347297979268,0.001273187081200588,2,2,0
1,0,-0.9680379052264022,0.8670694241677507,0,0,1
48,2,1.2292922370685615,1.440389389225063,0,0,0
11,0,-0.9133320408550751,-1.4893587220678117,1,1,1
55,0,1.1441868669509403,0.6875953481498097,0,0,1
42,1,0.028765641219988928,-0.33274800995219006,2,2,0
44,0,0.7857950177967341,0.852113251166256,0,0,0
1,0,-0.9887236981706852,-0.6900343649879065,0,0,0
27,0,0.13773583756255162,1.0249401391835322,0,0,0
27,0,0.011590030856432825,0.66599198714765,0,2,0
2,0,-0.9687222804465437,-0.6800635829869098,0,0,0
19,0,-0.845865890121106,-1.491020519067978,1,1,0
42,0,0.7334734283859008,1.0066603721817051,0,0,0
66,2,1.626009098550703,0.8404806721650928,2,2,0
33,0,0.6231786348430639,1.5002140812310438,2,2,0
34,0,0.10647534363607894,0.3053820381116013,0,0,1
33,0,-0.21175913372981234,-0.3377334009526884,0,2,0
23,1,-0.8248710244967591,-1.4860351280674797,1,1,0
32,1,-0.7325686762576475,-1.4960059100684764,1,1,0
11,1,-0.903198872272977,-1.4860351280674797,1,1,0
69,0,2.0859313231059313,1.1528985081963241,0,0,1
68,1,0.6912187776971519,-0.2945266789483693,2,2,0
20,2,-0.8229724351763659,-1.4976677070686424,1,1,0
72,2,-0.35965041114043367,-1.4943441130683104,1,1,0
60,1,1.5580351855566288,1.0182929511828682,2,0,0
32,0,0.2552717624668877,0.9701008381780506,0,0,0
1,0,-0.9993646290128884,-1.491020519067978,1,1,1
1,0,-0.9994970887329159,-1.5009913010689746,1,1,1
3,0,-0.9049650018733428,0.5513279941361873,0,0,1
46,1,-0.5374113554172396,-1.3397969920528607,1,1,0
29,0,-0.05927591935824018,0.3386179781149238,0,0,0
51,0,0.9668233018342166,0.7507436341561221,0,2,0
48,0,0.5571033111693829,0.19570343610063728,0,0,0
16,0,-0.4801887563653915,0.2821168801092755,0,0,0
70,2,2.020275455212337,1.1279715531938321,0,2,0
40,2,-0.555712873401029,-1.328164413051698,1,1,0
22,0,-0.19312646644595438,0.6161380771426662,0,0,1
1,0,-0.9749037340478236,0.35025055711608644,0,0,1
5,0,-0.9497584638626173,-1.3447823830533592,1,1,0
7,0,-0.7805632481475849,0.16911468409797892,0,0,0
29,1,0.24158425806405365,1.1894580421999785,0,2,0
44,1,-0.5178293934731851,-1.2982520670487077,1,1,0
10,0,-0.8097706164136325,-0.7997129669988705,2,0,0
55,0,0.24516067050479431,-0.43577942396248975,0,0,0
52,1,1.3657036720768059,1.3406815692150957,0,0,0
10,0,-0.629051405056214,0.7042133181514709,0,0,0
18,0,-0.3921913490271714,0.3602213391170831,0,0,0
68,1,0.7472492392687531,-0.21642221994056146,2,2,0
61,0,-0.48601698404659827,-1.5076384890696393,1,1,1
72,2,1.1043385678426896,0.014567563082529763,2,2,0
2,0,-0.9553880019637829,-0.3759547319565092,2,0,0
12,0,-0.7790399613672695,-0.6435040489832551,0,0,1
41,2,-0.6110148065124794,-1.4960059100684764,1,1,0
26,0,-0.48546506854648397,-0.6750781919864113,0,2,0
36,1,-0.6902257190888803,-1.4594463760648215,1,1,0
72,2,2.7308335466794604,1.638143232244832,2,2,0
35,0,0.387621099394291,0.8338334841644283,0,2,0
1,0,-0.9838447651496749,-0.32277722795119346,0,2,0
16,0,-0.17694430398260386,1.6015836982411773,2,2,0
49,0,1.2305947576488312,1.222693982203301,2,0,0
54,1,1.6628991305783412,1.6580847962468257,2,2,0
18,0,-0.4930152725880472,0.001273187081200588,2,0,0
36,0,0.2889165313538541,0.5197538511330313,0,0,0
60,0,1.8160887967900596,1.3672703212177542,0,0,1
1,0,-0.9774425453483493,0.1591439020969823,0,0,1
52,2,-0.4472945925585806,-1.3198554280508674,1,1,0
8,0,-0.6727851892852692,0.9966895901807085,0,0,0
72,2,2.3525948161411447,1.3539759452164248,2,2,0
64,1,-0.2828237735245265,-1.33148800705203,1,1,0
22,0,-0.32580695267342624,0.16579109009764686,2,2,0
60,0,0.5735945463127975,-0.15161213693408257,0,2,0
28,0,-0.02481431553110492,0.5413572121351906,0,0,1
61,2,-0.38210233368508234,-1.341458789053027,1,1,0
24,0,0.09331767811335473,1.3091074262119398,0,0,0
28,1,0.21416509601837647,0.9352031011745622,0,2,0
30,2,0.037971591761895206,0.5330482271343601,0,2,0
2,0,-0.9913728925712337,-1.4876969250676457,1,1,0
1,0,-0.974992040527842,0.34360336911542183,0,0,0
6,0,-0.9636005046054833,-1.4993295040688086,1,1,0
24,0,-0.2954957534071503,0.15582030809665023,0,0,0
4,0,-0.8377637705794284,1.2093996062019723,0,0,1
7,0,-0.7108894354131587,1.1645310871974868,0,0,1
72,2,2.702884545753673,1.7046151122514768,2,2,0
70,2,0.22802921338124713,-0.8213163280010304,0,2,0
64,2,1.8787863976030412,1.2409737492051283,0,2,0
72,1,1.901083783807658,0.8288480931639302,0,0,0
44,2,-0.6248568472553455,-1.491020519067978,1,1,0
13,0,-0.683911805767573,-0.29286488194820304,0,0,1
17,1,-0.8621805123044841,-1.4660935640654862,1,1,0
1,0,-0.9838668417696795,-0.32443902495135946,0,0,1
9,0,-0.7589502371631098,0.17576187209864352,0,0,0
24,0,-0.42738148131445763,-0.37096934095601086,2,2,0
1,0,-0.9751686534878786,0.3303089931140932,0,0,1
24,0,-0.18623856100452824,0.5147684601325327,0,0,1
35,0,0.2048266857564429,0.3751775121185783,0,2,0
7,0,-0.7635200975040561,0.3635449331174156,2,2,0
5,0,-0.8079603335732576,1.0415581091851935,0,2,1
15,0,-0.5689146921637626,0.14086413509515502,0,0,1
11,2,-0.9084751844540695,-1.4993295040688086,1,1,0
48,0,-0.06106412557861051,-0.6468276429835874,2,0,1
